date,description,amount,currency
2026-03-01,AWS,34.21,USD
2026-03-02,VERCEL,20.00,USD
2026-03-03,CURSOR,20.00,USD
2026-03-03,GITHUB,8.00,USD
2026-03-04,NOTION.SO,30.00,USD
2026-03-05,CLOUDFLARE,20.00,USD
2026-03-06,GOOGLE WORKSPACE,18.00,USD
2026-03-08,OPENAI CHATGPT,20.00,USD
2026-03-09,ANTHROPIC CLAUDE,20.00,USD
2026-03-10,FIGMA,15.00,USD
2026-03-11,1PASSWORD,24.00,USD
2026-03-12,SENTRY,26.00,USD
2026-03-14,SUPABASE,25.00,USD
2026-03-15,RESEND,20.00,USD
2026-03-17,LOOM,15.00,USD
2026-03-18,HEROKU,7.00,USD
2026-03-20,NAMECHEAP,14.16,USD
2026-03-22,APPLE DEVELOPER,99.00,USD
2026-03-25,STRIPE,3.42,USD
2026-03-28,POSTHOG,0.50,USD
2026-04-01,AWS,52.88,USD
2026-04-02,VERCEL,20.00,USD
2026-04-03,CURSOR,20.00,USD
2026-04-03,GITHUB,8.00,USD
2026-04-04,NOTION.SO,30.00,USD
2026-04-05,CLOUDFLARE,20.00,USD
2026-04-06,GOOGLE WORKSPACE,18.00,USD
2026-04-08,OPENAI CHATGPT,20.00,USD
2026-04-09,ANTHROPIC CLAUDE,20.00,USD
2026-04-10,FIGMA,15.00,USD
2026-04-11,1PASSWORD,24.00,USD
2026-04-12,SENTRY,26.00,USD
2026-04-14,SUPABASE,25.00,USD
2026-04-15,RESEND,20.00,USD
2026-04-17,LOOM,15.00,USD
2026-04-18,HEROKU,7.00,USD
2026-04-22,LINEAR,8.00,USD
2026-04-25,STRIPE,5.18,USD
2026-04-28,POSTHOG,2.40,USD
2026-05-01,AWS,78.42,USD
2026-05-02,VERCEL,20.00,USD
2026-05-03,CURSOR,40.00,USD
2026-05-03,GITHUB,12.00,USD
2026-05-04,NOTION.SO,40.00,USD
2026-05-05,CLOUDFLARE,20.00,USD
2026-05-06,GOOGLE WORKSPACE,24.00,USD
2026-05-08,OPENAI CHATGPT,20.00,USD
2026-05-09,ANTHROPIC CLAUDE,40.00,USD
2026-05-10,FIGMA,30.00,USD
2026-05-11,1PASSWORD,32.00,USD
2026-05-12,SENTRY,26.00,USD
2026-05-14,SUPABASE,25.00,USD
2026-05-15,RESEND,20.00,USD
2026-05-17,LOOM,15.00,USD
2026-05-18,HEROKU,7.00,USD
2026-05-22,LINEAR,8.00,USD
2026-05-25,STRIPE,11.83,USD
2026-05-28,POSTHOG,4.10,USD
2026-05-30,MERCURY WIRE FEE,5.00,USD
