date,description,amount,currency
2026-03-01,AWS,34128.42,USD
2026-03-01,AWS RDS,4218.55,USD
2026-03-01,AWS CLOUDFRONT,1248.92,USD
2026-03-02,SNOWFLAKE,8240.00,USD
2026-03-02,DATABRICKS,4512.00,USD
2026-03-02,GOOGLE BIGQUERY,1180.40,USD
2026-03-03,DATADOG,12480.00,USD
2026-03-03,NEW RELIC OBSERVABILITY,4520.00,USD
2026-03-03,SPLUNK,5510.00,USD
2026-03-04,PAGERDUTY,1240.00,USD
2026-03-04,OPSGENIE,440.00,USD
2026-03-05,SALESFORCE,8120.00,USD
2026-03-05,HUBSPOT,3600.00,USD
2026-03-05,PIPEDRIVE,250.00,USD
2026-03-06,ZENDESK,2820.00,USD
2026-03-06,INTERCOM,2240.00,USD
2026-03-06,FRONT,820.00,USD
2026-03-07,SLACK,4080.00,USD
2026-03-07,ZOOM,2280.00,USD
2026-03-07,GOOGLE WORKSPACE,4620.00,USD
2026-03-08,VERCEL,3120.00,USD
2026-03-08,CLOUDFLARE,5240.00,USD
2026-03-08,NETLIFY,99.00,USD
2026-03-09,GITHUB,2880.00,USD
2026-03-09,GITHUB COPILOT,1920.00,USD
2026-03-09,CURSOR,4200.00,USD
2026-03-10,JIRA,2480.00,USD
2026-03-10,CONFLUENCE,1840.00,USD
2026-03-10,NOTION.SO,2280.00,USD
2026-03-10,LINEAR,1820.00,USD
2026-03-11,FIGMA,2740.00,USD
2026-03-11,ADOBE CREATIVE CLOUD,1880.00,USD
2026-03-12,SENTRY,3280.00,USD
2026-03-12,LOGROCKET,1520.00,USD
2026-03-12,FULLSTORY,1880.00,USD
2026-03-13,MIXPANEL,1540.00,USD
2026-03-13,AMPLITUDE,4520.00,USD
2026-03-14,LOOKER,2510.00,USD
2026-03-14,TABLEAU,2240.00,USD
2026-03-15,SEGMENT,3540.00,USD
2026-03-15,RUDDERSTACK,820.00,USD
2026-03-16,AUTH0,3820.00,USD
2026-03-16,OKTA,5240.00,USD
2026-03-17,1PASSWORD,1540.00,USD
2026-03-17,VANTA,1820.00,USD
2026-03-17,DRATA,1240.00,USD
2026-03-18,WIZ,4520.00,USD
2026-03-18,SNYK,1820.00,USD
2026-03-19,RIPPLING,2280.00,USD
2026-03-19,WORKDAY,4280.00,USD
2026-03-20,CARTA,1240.00,USD
2026-03-20,SAGE INTACCT,1820.00,USD
2026-03-20,QUICKBOOKS,210.00,USD
2026-03-21,ANTHROPIC API,7842.55,USD
2026-03-21,OPENAI API,14218.92,USD
2026-03-21,COHERE,820.00,USD
2026-03-22,PINECONE,2240.00,USD
2026-03-22,MONGODB ATLAS,3540.00,USD
2026-03-22,PLANETSCALE,1240.00,USD
2026-03-22,REDIS CLOUD,820.00,USD
2026-03-22,ELASTIC CLOUD,4520.00,USD
2026-03-23,TWILIO,4548.20,USD
2026-03-23,SENDGRID,820.00,USD
2026-03-23,POSTMARK,210.00,USD
2026-03-23,RESEND,420.00,USD
2026-03-24,GOOGLE ADS,20485.45,USD
2026-03-24,META ADS,12244.82,USD
2026-03-24,LINKEDIN ADS,5125.40,USD
2026-03-25,ITERABLE,2540.00,USD
2026-03-25,CUSTOMER.IO,1240.00,USD
2026-03-25,WEBFLOW,420.00,USD
2026-03-26,LEVER,1240.00,USD
2026-03-26,GREENHOUSE,1820.00,USD
2026-03-26,LINKEDIN RECRUITER,1240.00,USD
2026-03-26,GEM,1240.00,USD
2026-03-27,CHATGPT TEAM,2520.00,USD
2026-03-27,LOOM,840.00,USD
2026-03-27,CALENDLY,520.00,USD
2026-03-28,STRIPE,18420.55,USD
2026-04-01,AWS,35820.18,USD
2026-04-01,AWS RDS,4318.20,USD
2026-04-01,AWS CLOUDFRONT,1382.55,USD
2026-04-02,SNOWFLAKE,8540.00,USD
2026-04-02,DATABRICKS,4720.00,USD
2026-04-02,GOOGLE BIGQUERY,1220.18,USD
2026-04-03,DATADOG,12820.00,USD
2026-04-03,NEW RELIC OBSERVABILITY,4520.00,USD
2026-04-03,SPLUNK,5510.00,USD
