date,description,amount,currency
2026-03-01,AWS,2148.32,USD
2026-03-01,AWS RDS,412.55,USD
2026-03-02,VERCEL,420.00,USD
2026-03-02,NETLIFY,99.00,USD
2026-03-03,CLOUDFLARE,250.00,USD
2026-03-03,GITHUB,168.00,USD
2026-03-03,CURSOR,260.00,USD
2026-03-04,LINEAR,294.00,USD
2026-03-04,NOTION.SO,440.00,USD
2026-03-05,CONFLUENCE,32.40,USD
2026-03-05,FIGMA,540.00,USD
2026-03-06,SLACK,287.50,USD
2026-03-06,ZOOM,224.85,USD
2026-03-07,GOOGLE WORKSPACE,396.00,USD
2026-03-08,DATADOG,1289.00,USD
2026-03-09,SENTRY,338.00,USD
2026-03-09,LOGROCKET,295.00,USD
2026-03-10,POSTHOG,488.00,USD
2026-03-11,HUBSPOT,60.00,USD
2026-03-11,MAILCHIMP,135.00,USD
2026-03-12,CUSTOMER.IO,150.00,USD
2026-03-12,PIPEDRIVE,79.00,USD
2026-03-13,CALENDLY,144.00,USD
2026-03-13,LOOM,200.00,USD
2026-03-14,OPENAI API,612.43,USD
2026-03-14,ANTHROPIC API,189.20,USD
2026-03-15,CHATGPT TEAM,250.00,USD
2026-03-16,1PASSWORD,176.00,USD
2026-03-17,AUTH0,240.00,USD
2026-03-18,RETOOL,250.00,USD
2026-03-19,VANTA,400.00,USD
2026-03-19,DRATA,700.00,USD
2026-03-20,RIPPLING,420.00,USD
2026-03-21,CARTA,250.00,USD
2026-03-22,QUICKBOOKS,80.00,USD
2026-03-23,LEVER,490.00,USD
2026-03-24,LINKEDIN RECRUITER,170.00,USD
2026-03-25,STRIPE,2419.55,USD
2026-03-26,WEBFLOW,39.00,USD
2026-03-27,OTTER.AI,80.00,USD
2026-03-28,SUPABASE,599.00,USD
2026-04-01,AWS,2342.88,USD
2026-04-01,AWS RDS,438.20,USD
2026-04-02,VERCEL,420.00,USD
2026-04-02,NETLIFY,99.00,USD
2026-04-03,CLOUDFLARE,250.00,USD
2026-04-03,GITHUB,168.00,USD
2026-04-03,CURSOR,260.00,USD
2026-04-04,LINEAR,294.00,USD
2026-04-04,NOTION.SO,440.00,USD
2026-04-05,CONFLUENCE,32.40,USD
2026-04-05,FIGMA,540.00,USD
2026-04-06,SLACK,287.50,USD
2026-04-06,ZOOM,224.85,USD
2026-04-07,GOOGLE WORKSPACE,396.00,USD
2026-04-08,DATADOG,1389.00,USD
2026-04-09,SENTRY,338.00,USD
2026-04-09,LOGROCKET,295.00,USD
2026-04-10,POSTHOG,488.00,USD
2026-04-11,HUBSPOT,60.00,USD
2026-04-11,MAILCHIMP,135.00,USD
2026-04-12,CUSTOMER.IO,150.00,USD
2026-04-12,PIPEDRIVE,79.00,USD
2026-04-13,CALENDLY,144.00,USD
2026-04-13,LOOM,200.00,USD
2026-04-14,OPENAI API,884.55,USD
2026-04-14,ANTHROPIC API,402.18,USD
2026-04-15,CHATGPT TEAM,250.00,USD
2026-04-16,1PASSWORD,176.00,USD
2026-04-17,AUTH0,240.00,USD
2026-04-18,RETOOL,250.00,USD
2026-04-19,VANTA,400.00,USD
2026-04-19,DRATA,700.00,USD
2026-04-20,RIPPLING,420.00,USD
2026-04-22,QUICKBOOKS,80.00,USD
2026-04-23,LEVER,490.00,USD
2026-04-24,LINKEDIN RECRUITER,170.00,USD
2026-04-25,STRIPE,3128.40,USD
2026-04-26,WEBFLOW,39.00,USD
2026-04-27,OTTER.AI,80.00,USD
2026-04-28,SUPABASE,599.00,USD
2026-04-29,SEGMENT,1080.00,USD
2026-04-30,MIXPANEL,225.00,USD
2026-05-01,AWS,2589.41,USD
2026-05-01,AWS RDS,455.10,USD
2026-05-02,VERCEL,420.00,USD
2026-05-02,NETLIFY,99.00,USD
2026-05-03,CLOUDFLARE,250.00,USD
2026-05-03,GITHUB,176.00,USD
2026-05-03,CURSOR,300.00,USD
2026-05-04,LINEAR,308.00,USD
2026-05-04,NOTION.SO,460.00,USD
2026-05-05,CONFLUENCE,32.40,USD
2026-05-05,FIGMA,585.00,USD
2026-05-06,SLACK,300.00,USD
2026-05-06,ZOOM,224.85,USD
2026-05-07,GOOGLE WORKSPACE,408.00,USD
2026-05-08,DATADOG,1512.00,USD
2026-05-09,SENTRY,338.00,USD
2026-05-09,LOGROCKET,295.00,USD
2026-05-10,POSTHOG,520.00,USD
2026-05-11,HUBSPOT,60.00,USD
2026-05-11,MAILCHIMP,135.00,USD
2026-05-12,CUSTOMER.IO,150.00,USD
2026-05-12,PIPEDRIVE,79.00,USD
2026-05-13,CALENDLY,144.00,USD
2026-05-13,LOOM,200.00,USD
2026-05-14,OPENAI API,1244.82,USD
2026-05-14,ANTHROPIC API,728.55,USD
2026-05-15,CHATGPT TEAM,250.00,USD
2026-05-16,1PASSWORD,184.00,USD
2026-05-17,AUTH0,240.00,USD
2026-05-18,RETOOL,250.00,USD
2026-05-19,VANTA,400.00,USD
2026-05-19,DRATA,700.00,USD
2026-05-20,RIPPLING,440.00,USD
2026-05-22,QUICKBOOKS,80.00,USD
2026-05-23,LEVER,490.00,USD
2026-05-24,LINKEDIN RECRUITER,170.00,USD
2026-05-25,STRIPE,3845.20,USD
2026-05-26,WEBFLOW,39.00,USD
2026-05-27,OTTER.AI,80.00,USD
2026-05-28,SUPABASE,599.00,USD
2026-05-29,SEGMENT,1080.00,USD
2026-05-30,MIXPANEL,225.00,USD
