date,description,amount,currency
2026-01-05,NOTION.SO,96.00,USD
2026-01-07,GITHUB,21.00,USD
2026-01-10,AWS,1240.00,USD
2026-01-12,ZOOM,149.90,USD
2026-01-12,GOOGLE MEET - GSUITE,12.00,USD
2026-01-15,FIGMA,75.00,USD
2026-01-15,SKETCH,12.00,USD
2026-01-18,DATADOG,399.00,USD
2026-01-20,NEW RELIC OBSERVABILITY,349.00,USD
2026-01-22,SLACK,87.50,USD
2026-01-25,INTERCOM,149.00,USD
2026-01-28,HUBSPOT,890.00,USD
2026-01-28,MAILCHIMP,130.00,USD
2026-01-30,VERCEL,200.00,USD
2026-01-30,NETLIFY,19.00,USD
2026-02-05,NOTION.SO,96.00,USD
2026-02-07,GITHUB,21.00,USD
2026-02-10,AWS,1189.00,USD
2026-02-12,ZOOM,149.90,USD
2026-02-12,GOOGLE MEET - GSUITE,12.00,USD
2026-02-15,FIGMA,75.00,USD
2026-02-15,SKETCH,12.00,USD
2026-02-18,DATADOG,399.00,USD
2026-02-20,NEW RELIC OBSERVABILITY,349.00,USD
2026-02-22,SLACK,87.50,USD
2026-02-28,HUBSPOT,890.00,USD
2026-02-28,MAILCHIMP,130.00,USD
2026-02-28,VERCEL,200.00,USD
